City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Caravelas,BR,2022-02-01 21:05:53,-17.7125,-39.2481,80.01,82,63,8.16
276,Sao Filipe,CV,2022-02-01 21:05:54,14.8961,-24.4956,74.73,75,84,2.42
277,Pirot,RS,2022-02-01 21:05:54,43.1531,22.5861,33.22,97,100,2.13
278,Vila,PT,2022-02-01 21:05:54,42.0304,-8.1588,47.28,71,0,5.14
279,West Bay,KY,2022-02-01 21:05:55,19.3667,-81.4167,81.07,77,20,4.0
280,Kargasok,RU,2022-02-01 21:02:01,59.0556,80.8572,19.2,95,100,8.37
281,Farafangana,MG,2022-02-01 21:02:15,-22.8167,47.8333,74.5,84,1,7.99
282,San Francisco,US,2022-02-01 21:05:51,37.7749,-122.4194,63.21,27,0,3.0
283,Alofi,NU,2022-02-01 21:05:56,-19.0595,-169.9187,84.09,65,40,4.61
284,Les Cayes,HT,2022-02-01 21:05:56,18.2,-73.75,79.95,68,29,9.62
285,Paulo Afonso,BR,2022-02-01 21:03:35,-9.4061,-38.2147,86.99,44,22,8.75
286,Sioux Lookout,CA,2022-02-01 21:05:57,50.1001,-91.917,10.47,79,100,16.11
287,Chokurdakh,RU,2022-02-01 21:05:57,70.6333,147.9167,-18.54,97,100,3.56
288,Nefteyugansk,RU,2022-02-01 21:05:57,61.0998,72.6035,-10.86,99,99,4.21
289,Margate,GB,2022-02-01 21:01:48,51.3813,1.3862,53.04,75,98,5.99
290,Reconquista,AR,2022-02-01 21:05:58,-29.15,-59.65,103.12,14,0,6.13
291,Sinnamary,GF,2022-02-01 21:05:58,5.3833,-52.95,77.97,85,99,13.56
292,Ust-Tsilma,RU,2022-02-01 21:05:59,65.441,52.1498,4.82,96,98,5.57
